197	245
0	0	176	10
1	0	9	10
2	1	8	7
3	1	176	10
4	1	114	10
5	1	116	9
6	1	175	10
7	2	76	9
8	2	77	9
9	3	4	9
10	3	77	9
11	4	6	9
12	4	135	9
13	5	131	12
14	5	6	8
15	6	7	12
16	7	8	8
17	7	174	9
18	8	194	8
19	8	9	9
20	8	191	7
21	10	11	9
22	10	13	9
23	11	16	10
24	12	32	9
25	12	13	7
26	12	30	11
27	13	16	9
28	13	15	9
29	14	64	8
30	14	129	9
31	14	15	10
32	16	17	10
33	18	19	9
34	18	30	10
35	19	89	10
36	19	68	9
37	19	82	9
38	20	21	10
39	20	23	11
40	21	26	11
41	22	188	9
42	22	23	8
43	24	27	11
44	25	171	8
45	25	55	9
46	26	27	8
47	26	28	10
48	26	29	9
49	28	51	11
50	28	54	11
51	29	78	9
52	30	35	9
53	31	37	8
54	32	33	8
55	32	37	9
56	34	37	8
57	35	37	10
58	36	38	10
59	36	39	8
60	37	160	11
61	37	38	9
62	38	196	10
63	39	181	8
64	40	41	8
65	40	42	7
66	41	43	9
67	41	189	10
68	42	43	9
69	42	143	10
70	42	143	9
71	44	45	9
72	44	47	9
73	45	48	9
74	45	164	8
75	46	49	9
76	46	47	9
77	48	155	9
78	48	181	8
79	49	177	11
80	49	147	10
81	49	165	9
82	50	57	10
83	50	51	11
84	51	188	9
85	52	53	10
86	52	55	10
87	53	58	7
88	54	55	11
89	56	57	9
90	56	59	10
91	58	59	9
92	60	61	9
93	60	69	10
94	61	128	9
95	61	122	11
96	62	144	9
97	62	86	9
98	62	63	9
99	63	68	11
100	63	149	9
101	64	65	9
102	64	67	9
103	64	68	9
104	65	66	9
105	66	67	10
106	67	69	9
107	69	144	10
108	70	79	8
109	70	183	7
110	71	72	10
111	71	79	10
112	72	73	10
113	73	74	11
114	74	183	8
115	75	173	9
116	75	183	10
117	76	173	10
118	77	152	9
119	77	162	10
120	77	133	9
121	78	94	9
122	78	79	10
123	80	81	9
124	80	81	11
125	80	86	7
126	80	87	9
127	82	88	9
128	82	83	12
129	82	150	9
130	83	148	10
131	84	148	10
132	84	85	10
133	86	87	9
134	87	88	10
135	89	150	9
136	90	172	11
137	91	99	10
138	91	92	9
139	92	96	8
140	92	93	8
141	92	183	10
142	94	171	8
143	95	96	10
144	95	171	11
145	96	97	9
146	97	172	9
147	98	194	11
148	98	131	8
149	99	100	10
150	100	132	10
151	101	104	10
152	101	180	7
153	101	102	7
154	102	109	11
155	103	104	10
156	103	106	8
157	105	106	10
158	105	107	10
159	105	179	8
160	107	108	10
161	107	129	11
162	108	179	9
163	109	110	10
164	110	128	9
165	111	112	11
166	111	140	9
167	112	137	9
168	113	114	12
169	113	191	7
170	115	116	12
171	115	118	10
172	117	120	8
173	117	118	9
174	119	176	9
175	119	175	9
176	120	175	10
177	121	122	9
178	121	124	10
179	123	124	9
180	123	125	11
181	123	126	10
182	127	128	10
183	127	130	10
184	129	130	9
185	131	142	10
186	132	135	9
187	133	173	8
188	134	137	10
189	134	138	8
190	134	135	8
191	136	139	10
192	137	172	11
193	138	174	9
194	138	141	9
195	139	174	8
196	140	141	12
197	142	143	8
198	143	185	9
199	144	149	12
200	145	157	10
201	146	152	9
202	146	154	9
203	147	166	9
204	147	177	9
205	148	154	11
206	149	150	11
207	151	152	8
208	152	153	9
209	153	160	10
210	153	154	9
211	154	159	9
212	154	183	8
213	155	195	10
214	155	156	10
215	155	165	11
216	156	157	8
217	157	158	11
218	158	183	11
219	158	196	10
220	158	165	11
221	161	162	9
222	162	163	11
223	162	167	9
224	163	187	10
225	163	164	9
226	165	177	9
227	165	181	9
228	165	184	11
229	165	186	10
230	166	170	12
231	166	183	9
232	167	168	8
233	168	169	10
234	169	185	8
235	178	179	10
236	181	196	9
237	182	189	10
238	183	184	10
239	183	186	12
240	186	187	10
241	190	191	8
242	192	193	10
243	193	194	10
244	195	196	9
10
0	185	193	6
1	98	190	5
2	162	157	4
3	147	176	3
4	49	53	4
5	155	22	4
6	116	154	4
7	84	152	4
8	125	14	5
9	66	68	3
